Common Name (Scientific Name),Genus,Species,Family,1,1 (Merlin),2,2 (Merlin),3,3 (Merlin),4,4 (Merlin),5,5 (Merlin),6,6 (Merlin),7,7 (Merlin),8,8 (Merlin),9,9 (Merlin),10,10 (Merlin),11,11 (Merlin),12,12 (Merlin),13,13 (Merlin),14,14 (Merlin),15,15 (Merlin),16,16 (Merlin),17,17 (Merlin),present,Notes,# stops,total,
Alder Flycatcher (Empidonax alnorum),Empidonax,alnorum,Tyrannidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Crow (Corvus brachyrhynchos) ,Corvus,brachyrhynchos,Corvidae,,,2,,1,,,,,,,,,,1,p,,,,,,,1,,1,,,,1,,,,,,p,,6,,
American Goldfinch (Carduelis tristis) ,Carduelis,tristis,Fringillidae,2,p,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,p,p,,4,,
American Kestrel (Falco sparverius),Falco,sparverius,Falconidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Redstart (Setophaga ruticilla) ,Setophaga,ruticilla,Parulidae,1,p,2,p,2,p,,,,,,,,,,,,,,,,,,,,,,,,,,,1,p,p,,4,,
American Robin (Turdus migratorius) ,Turdus,migratorius,Turdidae,,p,,,,,,,,,1,,,,,,,,,,1,p,,,,,,,,,1,,,,p,,3,,
American White Pelican (Pelecanus erythrorhynchos),Pelecanus,erythrorhynchos,Pelecanidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bald Eagle (Haliaeetus leucocephalus),Haliaeetus,leucocephalus,Accipitridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,1,,
Baltimore oriole (Icterus galbula) ,Icterus,galbula,Icteridae,1,p,,,,,,,,,,,1,p,1,,,,,,,,,,,,,,,,,,,,p,,3,,
Barn Swallow (Hirundo rustica) ,Hirundo,rustica,Hirundinidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay-breasted Warbler (Dendroica castanea),Dendroica,castanea,Parulidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belted Kingfisher (Ceryle alcyon) ,Ceryle,alcyon,Alcedinidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Tern (Chlidonias niger),Chlidonias,niger,Laridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-and-white Warbler (Mniotilta varia),Mniotilta,varia,Parulidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackburnian Warbler (Dendroica fusca) ,Dendroica,fusca,Parulidae,,,,,,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,p,,1,,
Black-capped Chickadee (Parus atricapillus) ,Parus,atricapillus,Paridae,,,2,p,2,p,,,,,,,,p,,,,,,,,,1,,1,,,,,,,,,,p,,4,,
Blackpoll Warbler (Dendroica striata) ,Dendroica,striata,Parulidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-throated Green Warbler (Dendroica virens) ,Dendroica,virens,Parulidae,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,p,,1,,
Blue Jay (Cyanocitta cristata) ,Cyanocitta,cristata,Corvidae,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,1,,,,,,1,,p,,5,,
Blue-gray Gnatcatcher (Polioptila caerula) ,Polioptila,caerula,Polioptilidae,,,,,,,,,,,,,,,,,,,,,,,,,1,p,,,1,p,,,,,p,,2,,
Blue-headed [solitary] Vireo (Vireo solitarius) ,Vireo,solitarius,Vireonidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue-winged Teal (Anas discors),Anas,discors,Anatidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue-winged Warbler (Vermivora pinus),Vermivora,pinus,Parulidae,,,,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,p,,1,,
Bobolink (Dolichonyx oryzivorus),Dolichonyx,oryzivorus,Icteridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broad-winged Hawk (Buteo playpterus),Buteo,playpterus,Accipitridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Thrasher (Toxostoma rufum),Toxostoma,rufum,Mimidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,1,,
Brown-headed Cowbird (Molothrus ater) ,Molothrus,ater,Icteridae,,,,,,,,,,,1,p,,,,,1,p,1,,,,,,1,,,,,,1,,,,p,,5,,
Canada Goose (Branta canadensis),Branta,canadensis,Anatidae,2,,2,p,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,4,,
Canada Warbler (Wilsonia canadensis) ,Wilsonia,canadensis,Parulidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape May Warbler (Dendroica tigrina),Dendroica,tigrina,Parulidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caspian tern (Hydroprogne caspia = Sterna caspia),Hydroprogne,caspia,Laridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Waxwing (Bombycilla cedrorum) ,Bombycilla,cedrorum,Bombycillidae,,p,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,p,,1,,
Chestnut-sided Warbler (Dendroica pensylvanica) ,Dendroica,pensylvanica,Parulidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimney Swift (Chaetura pelagica),Chaetura,pelagica,Apodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipping Sparrow (Spizella passerina) ,Spizella,passerina,Emberizidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay-colored Sparrow (Spizella pallida),Spizella,pallida,Emberizidae,,,,,,,,,1,,1,p,,,,,,,,,,,,,1,p,,,,,,,,,p,,3,,
Cliff Swallow (Petrochelidon pyrrhonota),Petrochelidon,pyrrhonota,Hirundinidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Grackle (Quiscalus quiscula) ,Quiscalus,quiscula,Icteridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Yellowthroat (Geothlypis trichas) ,Geothlypis,trichas,Parulidae,1,p,,p,,,4,p,2,,5,p,3,p,1,p,1,,,,,,,,3,p,,,3,p,2,p,1,,p,,11,,
Connecticut Warbler (Oporornis agilis),Oporornis,agilis,Parulidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper's Hawk (Accipiter cooperii),Accipiter,cooperii,Accipitridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downy Woodpecker (Picoides pubescens),Picoides,pubescens,Picidae,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,p,,1,,
Eastern Bluebird (Sialia sialis) ,Sialia,sialis,Turdidae,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,1,,
Eastern Kingbird (Tyrannus tyrannus) ,Tyrannus,tyrannus,Tyrannidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Meadowlark (Sturnella magna),Sturnella,magna,Icteridae,,,,,,,,,1,,,,1,p,,,,,,,,,,,,,,,,,,,,,p,,2,,
Eastern Phoebe (Sayornis phoebe),Sayornis,phoebe,Tyrannidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,1,,
Eastern Towhee (Pipilo erythrophthalmus),Pipilo,erythrophthalmus,Emberizidae,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,p,,1,,
Eastern Wood-pewee (Contopus virens),Contopus,virens,Tyrannidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Starling (Sturnus vulgaris) ,Sturnus,vulgaris,Sturnidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
