Common Name (Scientific Name),2000,2001,2002,2003,2004,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2021,2022,2023,2024,2024 (Merlin),% yrs.,no./yr,,,,Updated 9/1/2022,,,,,,,,,,,,,,,,,,,,
Alder Flycatcher (Empidonax alnorum),0,0,0,0,p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,10,0.1,,,,,,,,,,,,,,,,,,,,,,,,
American Crow (Corvus brachyrhynchos) ,36,12,8,7,6,7,8,7,16,12,19,11,26,17,11,18,9,8,19,15,12,p,105,14.2,,,,Formula (for 2022 and beyond):,,,,,,,,,,,,,,,,,,,,
American Goldfinch (Carduelis tristis) ,20,10,9,10,15,6,p,8,10,17,10,20,3,9,14,11,6,8,13,10,10,p,105,10.9,,,,"IF('2022(2022Update)'!Y2<>0,'2022(2022Update)'!Y2,'2022(2022Update)'!V2)",,,,,,,,,,,,,,,,,,,,
American Kestrel (Falco sparverius),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,10,0.1,,,,Tranlsation:,,"If ""total"" (Y) is not equal to 0, enter number from ""total"" column",,,,,,,,,,,,,,,,,,
American Redstart (Setophaga ruticilla) ,3,5,5,4,8,8,5,10,6,14,12,6,4,2,2,2,2,11,5,6,4,p,105,6.2,,,,,,"If ""total"" is equal to 0, enter result from ""present"" (V) column",,,,,,,,,,,,,,,,,,
American Robin (Turdus migratorius) ,2,2,11,p,6,6,3,3,18,11,4,4,17,15,18,5,8,5,6,9,7,p,105,8,,,,,,"If the ""present"" column has no data entered, 0 is entered automatically",,,,,,,,,,,,,,,,,,
American White Pelican (Pelecanus erythrorhynchos),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,p,,10,0.8,,,,,,,,,,,,,,,,,,,,,,,,
Bald Eagle (Haliaeetus leucocephalus),0,0,0,0,0,0,p,p,0,1,1,1,0,6,2,1,0,1,0,2,p,,55,0.8,,,,Total number of species is lower in 2020 because there were only 5 participants (due to the COVID-19 pandemic) and no full checklist was kept,,,,,,,,,,,,,,,,,,,,
Baltimore oriole (Icterus galbula) ,1,p,5,p,1,3,6,3,6,6,p,11,4,6,3,p,3,5,10,12,11,p,105,4.8,,,,The Evening Grosbeak recorded in 2021 may have been written down in error,,,,,,,,,,,,,,,,,,,,
Barn Swallow (Hirundo rustica) ,3,p,1,1,1,0,p,1,p,2,p,1,0,0,3,0,2,2,0,1,p,,80,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Bay-breasted Warbler (Dendroica castanea),0,0,0,p,1,0,p,0,p,0,0,0,0,0,0,0,0,0,0,0,0,,20,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Belted Kingfisher (Ceryle alcyon) ,0,0,p,0,p,0,1,0,0,p,0,1,0,0,0,0,0,0,0,p,1,p,35,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Black Tern (Chlidonias niger),0,0,0,0,0,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,0,,,,,,,,,,,,,,,,,,,,,,,,
Black-and-white Warbler (Mniotilta varia),0,0,1,0,p,p,0,p,1,0,p,1,0,0,2,1,0,0,p,1,p,,60,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Blackburnian Warbler (Dendroica fusca) ,0,0,0,1,2,0,p,0,0,p,p,0,0,p,0,p,0,0,2,0,0,,40,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Black-capped Chickadee (Parus atricapillus) ,7,4,4,3,12,3,5,10,9,6,9,22,6,7,10,15,18,p,6,15,5,p,105,8.8,,,,,,,,,,,,,,,,,,,,,,,,
Blackpoll Warbler (Dendroica striata) ,0,p,p,1,4,p,p,p,p,p,0,0,0,0,0,0,0,0,p,0,0,,50,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Black-throated Green Warbler (Dendroica virens) ,0,p,2,0,0,3,0,0,p,0,p,p,0,0,0,0,0,0,0,0,0,,30,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Blue Jay (Cyanocitta cristata) ,2,3,5,3,p,4,4,13,5,10,15,13,6,12,6,7,9,5,17,6,15,p,105,8,,,,,,,,,,,,,,,,,,,,,,,,
Blue-gray Gnatcatcher (Polioptila caerula) ,8,4,1,5,6,0,p,5,6,5,4,1,p,4,5,2,0,0,3,2,5,p,90,3.3,,,,,,,,,,,,,,,,,,,,,,,,
Blue-headed [solitary] Vireo (Vireo solitarius) ,0,0,p,p,0,2,p,p,0,0,0,p,0,0,1,0,0,0,1,0,0,,40,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Blue-winged Teal (Anas discors),0,0,p,0,0,0,0,0,0,p,1,0,0,0,0,0,0,0,0,0,0,,15,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Blue-winged Warbler (Vermivora pinus),0,0,0,0,0,1,1,4,1,5,3,2,0,1,2,0,0,4,0,1,p,,60,1.2,,,,,,,,,,,,,,,,,,,,,,,,
Bobolink (Dolichonyx oryzivorus),0,0,0,0,0,p,0,p,0,0,0,8,0,0,0,0,0,0,0,0,0,p,15,0.4,,,,,,,,,,,,,,,,,,,,,,,,
Broad-winged Hawk (Buteo playpterus),p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p,0,,15,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Brown Thrasher (Toxostoma rufum),0,0,1,0,0,1,1,0,0,1,3,p,p,1,1,0,0,0,0,0,0,,45,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Brown-headed Cowbird (Molothrus ater) ,7,1,7,4,8,4,2,10,12,4,10,6,2,8,8,11,4,18,8,4,13,p,105,7.5,,,,,,,,,,,,,,,,,,,,,,,,
